Tone Time,IOI,Asynchornies,Tap Time,ITI
0.44,0.33,-0.010000000000000009,0.45,0.33
0.79,0.35,-0.010000000000000009,0.8,0.35
1.13,0.3399999999999998,0.0,1.13,0.3299999999999998
1.47,0.3400000000000001,0.010000000000000009,1.46,0.33
1.81,0.3400000000000001,0.010000000000000009,1.8,0.3400000000000001
,,,2.14,0.3400000000000001
2.49,,0.020000000000000018,2.47,0.33
2.83,0.3399999999999998,0.020000000000000018,2.81,0.3399999999999998
3.16,0.33,0.0,3.16,0.3500000000000001
,,,3.49,0.33
3.82,,0.0,3.82,0.3299999999999996
,,,4.15,0.3300000000000005
4.48,,0.0,4.48,0.33
4.79,0.3099999999999996,-0.009999999999999787,4.8,0.3199999999999994
5.14,0.3499999999999996,0.019999999999999574,5.12,0.3200000000000003
5.47,0.33,0.0,5.47,0.3499999999999996
5.81,0.3399999999999998,0.0,5.81,0.3399999999999998
6.15,0.3400000000000007,0.010000000000000675,6.14,0.33
6.47,0.3199999999999994,0.0,6.47,0.33
6.8,0.33,,,
7.11,0.3100000000000005,-0.009999999999999787,7.12,
,,,7.46,0.3399999999999998
7.8,,0.019999999999999574,7.78,0.3200000000000003
8.13,0.3300000000000009,0.02000000000000135,8.11,0.3299999999999992
8.44,0.3099999999999987,-0.009999999999999787,8.45,0.3399999999999998
8.78,0.3399999999999998,0.0,8.78,0.33
9.11,0.33,0.0,9.11,0.33
9.45,0.3399999999999998,0.019999999999999574,9.43,0.3200000000000003
9.76,0.3100000000000005,-0.009999999999999787,9.77,0.3399999999999998
,,,10.1,0.33
10.41,,0.0,10.41,0.3100000000000005
10.75,0.3399999999999998,0.0,10.75,0.3399999999999998
11.07,0.3200000000000003,0.0,11.07,0.3200000000000003
11.41,0.3399999999999998,0.0,11.41,0.3399999999999998
11.71,0.3000000000000007,-0.019999999999999574,11.73,0.3200000000000003
12.05,0.3399999999999998,0.0,12.05,0.3200000000000003
12.37,0.3199999999999985,0.0,12.37,0.3199999999999985
12.7,0.33,-0.010000000000001563,12.71,0.3400000000000016
13.02,0.3200000000000003,0.009999999999999787,13.01,0.2999999999999989
13.36,0.3399999999999998,0.0,13.36,0.3499999999999996
13.66,0.3000000000000007,-0.009999999999999787,13.67,0.3100000000000005
13.99,0.33,0.019999999999999574,13.97,0.3000000000000007
14.32,0.33,0.009999999999999787,14.31,0.3399999999999998
14.66,0.3399999999999998,0.019999999999999574,14.64,0.33
14.97,0.3100000000000005,0.0,14.97,0.33
15.3,0.33,0.0,15.3,0.33
15.64,0.3399999999999998,0.009999999999999787,15.63,0.33
15.96,0.3200000000000003,0.0,15.96,0.33
16.28,0.3200000000000003,-0.00999999999999801,16.29,0.3299999999999983
16.63,0.3499999999999978,0.0,16.63,0.3399999999999998
16.95,0.3200000000000003,-0.010000000000001563,16.96,0.3300000000000018
17.29,0.3399999999999998,0.0,17.29,0.3299999999999983
17.63,0.3399999999999998,0.03999999999999915,17.59,0.3000000000000007
,,,17.94,0.3500000000000014
18.28,,0.010000000000001563,18.27,0.3299999999999983
18.63,0.3499999999999978,0.019999999999999574,18.61,0.3399999999999998
18.94,0.3100000000000023,0.0,18.94,0.3300000000000018
19.29,0.3499999999999978,0.019999999999999574,19.27,0.3299999999999983
19.61,0.3200000000000003,0.00999999999999801,19.6,0.3300000000000018
19.96,0.3500000000000014,0.019999999999999574,19.94,0.3399999999999998
20.26,0.3000000000000007,-0.00999999999999801,20.27,0.3299999999999983
20.59,0.3299999999999983,-0.019999999999999574,20.61,0.3399999999999998
20.92,0.3300000000000018,-0.00999999999999801,20.93,0.3200000000000003
21.26,0.3399999999999998,0.010000000000001563,21.25,0.3200000000000003
21.58,0.3199999999999967,0.0,21.58,0.3299999999999983
21.9,0.3200000000000003,0.00999999999999801,21.89,0.3100000000000023
22.23,0.3300000000000018,0.010000000000001563,22.22,0.3299999999999983
22.56,0.3299999999999983,0.00999999999999801,22.55,0.3300000000000018
22.88,0.3200000000000003,0.00999999999999801,22.87,0.3200000000000003
23.2,0.3200000000000003,0.0,23.2,0.3299999999999983
23.53,0.3300000000000018,-0.00999999999999801,23.54,0.3399999999999998
23.86,0.3299999999999983,-0.010000000000001563,23.87,0.3300000000000018
24.19,0.3300000000000018,0.010000000000001563,24.18,0.3099999999999987
24.51,0.3200000000000003,0.0,24.51,0.3300000000000018
24.84,0.3299999999999983,0.0,24.84,0.3299999999999983
25.17,0.3300000000000018,-0.00999999999999801,25.18,0.3399999999999998
25.5,0.3299999999999983,,,
25.82,0.3200000000000003,,,
26.16,0.3399999999999998,,,
26.49,0.3299999999999983,,,
26.81,0.3200000000000003,0.00999999999999801,26.8,
27.14,0.3300000000000018,0.010000000000001563,27.13,0.3299999999999983
27.47,0.3299999999999983,0.00999999999999801,27.46,0.3300000000000018
27.8,0.3300000000000018,0.0,27.8,0.3399999999999998
28.13,0.3299999999999983,0.00999999999999801,28.12,0.3200000000000003
,,,28.45,0.3299999999999983
28.79,,,,
29.13,0.3399999999999998,0.0,29.13,
29.45,0.3200000000000003,-0.010000000000001563,29.46,0.3300000000000018
,,,29.79,0.3299999999999983
30.13,,0.029999999999997584,30.1,0.3100000000000023
30.49,0.3599999999999994,0.03999999999999915,30.45,0.3499999999999978
30.78,0.2900000000000027,0.0,30.78,0.3300000000000018
31.09,0.3099999999999987,-0.010000000000001563,31.1,0.3200000000000003
31.45,0.3599999999999994,0.019999999999999574,31.43,0.3299999999999983
31.8,0.3500000000000014,0.030000000000001137,31.77,0.3399999999999998
32.11,0.3099999999999987,0.01999999999999602,32.09,0.3200000000000038
32.43,0.3200000000000003,0.0,32.43,0.3399999999999963
32.75,0.3200000000000003,0.0,32.75,0.3200000000000003
,,,33.09,0.3400000000000034
33.44,,-0.03999999999999915,33.48,0.3899999999999934
,,,33.75,0.2700000000000031
34.11,,0.01999999999999602,34.09,0.3400000000000034
34.45,0.3400000000000034,0.020000000000003126,34.43,0.3399999999999963
34.77,0.3200000000000003,0.0,34.77,0.3400000000000034
35.11,0.3399999999999963,0.00999999999999801,35.1,0.3299999999999983
35.44,0.3299999999999983,0.00999999999999801,35.43,0.3299999999999983
35.78,0.3400000000000034,0.00999999999999801,35.77,0.3400000000000034
36.12,0.3399999999999963,0.02999999999999403,36.09,0.3200000000000003
36.45,0.3300000000000054,0.010000000000005116,36.44,0.3499999999999943
36.77,0.3200000000000003,0.010000000000005116,36.76,0.3200000000000003
